"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 29 01:07:56 EEST 2022","Sat Oct 29 01:08:00 EEST 2022","3904","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo button returns to the main page.","Checks if ""Telnyx"" logo button returns to the main page.",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"passed","Thu Oct 27 18:10:33 EEST 2022","Thu Oct 27 18:10:36 EEST 2022","3058","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Oct 26 11:07:39 EEST 2022","Wed Oct 26 11:07:42 EEST 2022","3121","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the Log In link is visible","should detect if the Log In link is visible",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the Log In link is visible","should detect if the Log In link is visible",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the Sign up button is clickable","should detect if the Sign up button is clickable",""
"passed","Fri Oct 28 19:04:22 EEST 2022","Fri Oct 28 19:04:22 EEST 2022","12","","Telnyx Login page test","","Telnyx Login page test","Checks if login page is on a specific page.","Checks if login page is on a specific page.",""
"passed","Sat Oct 29 01:07:22 EEST 2022","Sat Oct 29 01:07:22 EEST 2022","118","","Telnyx Login page test","","Telnyx Login page test","Checks if login page is on a specific page.","Checks if login page is on a specific page.",""
"passed","Sat Oct 29 01:07:32 EEST 2022","Sat Oct 29 01:07:32 EEST 2022","76","","Telnyx main page test","","Telnyx main page test","should detect if the LinkedIn link is clickable","should detect if the LinkedIn link is clickable",""
"passed","Sat Oct 29 01:07:55 EEST 2022","Sat Oct 29 01:07:55 EEST 2022","44","","Telnyx main page test","","Telnyx main page test","Checks if main page is on a specific page.","Checks if main page is on a specific page.",""
"passed","Sat Oct 29 01:07:20 EEST 2022","Sat Oct 29 01:07:20 EEST 2022","13","","Telnyx Login page test","","Telnyx Login page test","Checks if login page is on a specific page.","Checks if login page is on a specific page.",""
"skipped","Fri Oct 28 19:01:57 EEST 2022","Fri Oct 28 19:01:57 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","Checks if main page has a specific title.","Checks if main page has a specific title.",""
"passed","Fri Oct 28 17:13:56 EEST 2022","Fri Oct 28 17:13:56 EEST 2022","24","","Telnyx main page test","","Telnyx main page test","should detect if the Products section is clickable","should detect if the Products section is clickable",""
"passed","Fri Oct 28 17:33:17 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","305","","Telnyx main page test","","Telnyx main page test","should detect if the Call Us buttom is visible","should detect if the Call Us buttom is visible",""
"passed","Sat Oct 29 01:07:32 EEST 2022","Sat Oct 29 01:07:32 EEST 2022","37","","Telnyx main page test","","Telnyx main page test","should detect if the Twitter link is clickable","should detect if the Twitter link is clickable",""
"passed","Fri Oct 28 19:04:36 EEST 2022","Fri Oct 28 19:04:36 EEST 2022","49","","Telnyx header test","","Telnyx header test","should detect if the Log In link is visible","should detect if the Log In link is visible",""
"passed","Fri Oct 28 19:04:28 EEST 2022","Fri Oct 28 19:04:28 EEST 2022","44","","Telnyx main page test","","Telnyx main page test","should detect if the LinkedIn link is clickable","should detect if the LinkedIn link is clickable",""
"passed","Fri Oct 28 17:33:16 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","124","","Telnyx main page test","","Telnyx main page test","should detect if the Sign up button is clickable","should detect if the Sign up button is clickable",""
"passed","Fri Oct 28 17:33:16 EEST 2022","Fri Oct 28 17:33:16 EEST 2022","382","","Telnyx main page test","","Telnyx main page test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"broken","Fri Oct 28 08:33:31 EEST 2022","Fri Oct 28 08:33:37 EEST 2022","5651","","Telnyx main page test","","Telnyx main page test","should login with valid credentials","should login with valid credentials",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
"passed","Tue Oct 25 10:52:05 EEST 2022","Tue Oct 25 10:52:08 EEST 2022","3267","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Fri Oct 28 08:44:40 EEST 2022","Fri Oct 28 08:44:45 EEST 2022","5197","","Telnyx main page test","","Telnyx main page test","Checks if website has a specific title.","Checks if website has a specific title.",""
"passed","Fri Oct 28 17:33:17 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","106","","Telnyx main page test","","Telnyx main page test","should detect the focus of the Network section","should detect the focus of the Network section",""
"passed","Fri Oct 28 19:04:36 EEST 2022","Fri Oct 28 19:04:36 EEST 2022","53","","Telnyx header test","","Telnyx header test","should detect the focus of the Products section","should detect the focus of the Products section",""
"passed","Sat Oct 29 01:07:41 EEST 2022","Sat Oct 29 01:07:42 EEST 2022","101","","Telnyx header test","","Telnyx header test","should detect if the menu section is visible","should detect if the menu section is visible",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the Support Center link is visible","should detect if the Support Center link is visible",""
"failed","Fri Oct 28 15:34:35 EEST 2022","Fri Oct 28 15:34:35 EEST 2022","417","","Telnyx main page test","","Telnyx main page test","should detect if the menu section is visible","should detect if the menu section is visible",""
"passed","Sat Oct 29 01:07:44 EEST 2022","Sat Oct 29 01:07:45 EEST 2022","533","","Telnyx header test","","Telnyx header test","should detect if the Call Us buttom is visible","should detect if the Call Us buttom is visible",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the menu section is visible","should detect if the menu section is visible",""
"failed","Fri Oct 28 19:04:35 EEST 2022","Fri Oct 28 19:04:35 EEST 2022","753","","Telnyx header test","","Telnyx header test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the Support Center link is visible","should detect if the Support Center link is visible",""
"passed","Thu Oct 27 18:59:48 EEST 2022","Thu Oct 27 18:59:56 EEST 2022","7587","","Telnyx main page test","","Telnyx main page test","should reload my session with current capabilities","should reload my session with current capabilities",""
"passed","Sat Oct 29 01:07:48 EEST 2022","Sat Oct 29 01:07:48 EEST 2022","61","","Telnyx header test","","Telnyx header test","should detect the focus of the Network section","should detect the focus of the Network section",""
"skipped","Fri Oct 28 18:24:41 EEST 2022","Fri Oct 28 18:24:41 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the LinkedIn link is clickable","should detect if the LinkedIn link is clickable",""
"passed","Fri Oct 28 19:04:41 EEST 2022","Fri Oct 28 19:04:44 EEST 2022","2830","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo button returns to the main page.","Checks if ""Telnyx"" logo button returns to the main page.",""
"passed","Fri Oct 28 17:33:16 EEST 2022","Fri Oct 28 17:33:16 EEST 2022","42","","Telnyx main page test","","Telnyx main page test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
